"SITUACAO_CC","DURACAO_EMPRESTIMO","HISTORICO_CREDITO","PROPOSITO","TOTAL_CREDITO","POUPANCA","EMPREGADO_DESDE","TAXA_PAGTO","GENERO_ESTADO_CIVIL","DEVEDOR_FIADOR","ANOS_RESIDENCIA","BENS","IDADE","OUTROS_EMPRESTIMOS","HABITACAO","CREDITOS_EXISTENTES","TRABALHO","Number of people being liable to provide maintenance for","TELEFONE","TRABALHADOR_ESTRANGEIRO","Score"
"Negativa",21,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",571,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",65,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",36,"atraso no pagamento no passado","negócios",9572,"menos de 100","menos de 1 ano",1,"homem (divorciado/separado)","Nenhum",1,"carro ou outro",28,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",36,"atraso no pagamento no passado","negócios",4455,"menos de 100","1 a 4 anos",2,"homem (divorciado/separado)","Nenhum",2,"imóvel",30,"lojas","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",21,"todos os créditos neste banco foram devidamente pagos","carro (novo)",1647,"desconhecido/sem conta poupança","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",40,"Nenhum","próprio",2,"não qualificado - residente",2,"Nenhum","Sim","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",3777,"mais de 1000","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",50,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",884,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",36,"banco","próprio",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",15,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1360,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",31,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",9,"todos os créditos neste banco foram devidamente pagos","carro (usado)",5129,"menos de 100","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"desconhecido/sem propriedade",74,"banco","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",16,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1175,"menos de 100","Desempregado",2,"masculino (solteiro)","Nenhum",3,"carro ou outro",68,"Nenhum","de graça",3,"desempregado / não qualificado - não residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","rádio/televisão",674,"100 a 500","4 a 7 anos",4,"homem (casado/viúvo)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",20,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",18,"nenhum crédito recebido / todos os créditos pagos devidamente","móveis/equipamentos",3244,"menos de 100","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",33,"banco","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","negócios",4591,"mais de 1000","1 a 4 anos",2,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",54,"Nenhum","próprio",3,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",48,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",3844,"100 a 500","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",34,"Nenhum","de graça",1,"não qualificado - residente",2,"Nenhum","Sim","ruim"
"0 - 200",27,"créditos existentes pagos devidamente até agora","negócios",3915,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",36,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",6,"créditos existentes pagos devidamente até agora","rádio/televisão",2108,"menos de 100","4 a 7 anos",2,"homem (casado/viúvo)","Nenhum",2,"imóvel",29,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",45,"créditos existentes pagos devidamente até agora","rádio/televisão",3031,"100 a 500","1 a 4 anos",4,"masculino (solteiro)","fiador",4,"contrato de poupança/seguro de vida da sociedade de construção",21,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",9,"conta crítica/outros créditos existentes (não neste banco)","Educação",1501,"menos de 100","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",3,"carro ou outro",34,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",6,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1382,"menos de 100","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",1,"carro ou outro",28,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",951,"100 a 500","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",27,"banco","aluguel",4,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",24,"créditos existentes pagos devidamente até agora","carro (usado)",2760,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",36,"banco","de graça",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"atraso no pagamento no passado","móveis/equipamentos",4297,"menos de 100","mais de 7 anos",4,"homem (divorciado/separado)","Nenhum",3,"desconhecido/sem propriedade",40,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",9,"conta crítica/outros créditos existentes (não neste banco)","Educação",936,"500 a 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",52,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","carro (novo)",1168,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",3,"imóvel",27,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",27,"atraso no pagamento no passado","negócios",5117,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",4,"carro ou outro",26,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","reciclagem",902,"menos de 100","4 a 7 anos",4,"homem (casado/viúvo)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",21,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1495,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",1,"imóvel",38,"Nenhum","próprio",2,"não qualificado - residente",2,"Nenhum","Sim","bom"
"Negativa",30,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",10623,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",38,"Nenhum","de graça",3,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1935,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",43,"Nenhum","próprio",3,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"conta crítica/outros créditos existentes (não neste banco)","eletrodomésticos",1424,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","negócios",6568,"menos de 100","1 a 4 anos",2,"homem (casado/viúvo)","Nenhum",2,"carro ou outro",21,"lojas","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","carro (usado)",1413,"mais de 1000","4 a 7 anos",3,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",55,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","bom"
"Não Possui CC",9,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",3074,"desconhecido/sem conta poupança","1 a 4 anos",1,"masculino (solteiro)","Nenhum",2,"imóvel",33,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","rádio/televisão",3835,"desconhecido/sem conta poupança","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",45,"Nenhum","próprio",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",27,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",5293,"menos de 100","Desempregado",2,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",50,"lojas","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Acima de 200",30,"atraso no pagamento no passado","negócios",1908,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",66,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",3342,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",51,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",6,"conta crítica/outros créditos existentes (não neste banco)","reciclagem",932,"desconhecido/sem conta poupança","4 a 7 anos",1,"mulher (divorciada/separada/casada)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",39,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",18,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",3104,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",31,"banco","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",36,"créditos existentes pagos devidamente até agora","rádio/televisão",3913,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"imóvel",23,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3021,"menos de 100","1 a 4 anos",2,"homem (divorciado/separado)","Nenhum",2,"imóvel",24,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",10,"créditos existentes pagos devidamente até agora","carro (novo)",1364,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",64,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",625,"menos de 100","menos de 1 ano",4,"homem (casado/viúvo)","fiador",1,"imóvel",26,"banco","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","Educação",1200,"desconhecido/sem conta poupança","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",23,"banco","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",707,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"imóvel",30,"banco","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"atraso no pagamento no passado","negócios",2978,"desconhecido/sem conta poupança","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",32,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",15,"créditos existentes pagos devidamente até agora","carro (usado)",4657,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",36,"nenhum crédito recebido / todos os créditos pagos devidamente","reparos",2613,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",48,"créditos existentes pagos devidamente até agora","rádio/televisão",10961,"mais de 1000","4 a 7 anos",1,"masculino (solteiro)","co-requerente",2,"desconhecido/sem propriedade",27,"banco","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",7865,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",53,"Nenhum","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",9,"créditos existentes pagos devidamente até agora","rádio/televisão",1478,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",22,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3149,"menos de 100","menos de 1 ano",4,"masculino (solteiro)","Nenhum",1,"desconhecido/sem propriedade",22,"banco","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Acima de 200",36,"créditos existentes pagos devidamente até agora","rádio/televisão",4210,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",9,"créditos existentes pagos devidamente até agora","carro (novo)",2507,"500 a 1000","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",51,"Nenhum","de graça",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",2141,"100 a 500","4 a 7 anos",3,"masculino (solteiro)","Nenhum",1,"desconhecido/sem propriedade",35,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","rádio/televisão",866,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","fiador",2,"imóvel",25,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",4,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1544,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",1,"imóvel",42,"Nenhum","próprio",3,"não qualificado - residente",2,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","rádio/televisão",1823,"menos de 100","Desempregado",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"lojas","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"Nenhum","Sim","ruim"
"0 - 200",6,"créditos existentes pagos devidamente até agora","carro (novo)",14555,"desconhecido/sem conta poupança","Desempregado",1,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",23,"Nenhum","próprio",1,"desempregado / não qualificado - não residente",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",21,"créditos existentes pagos devidamente até agora","negócios",2767,"100 a 500","mais de 7 anos",4,"homem (divorciado/separado)","Nenhum",2,"carro ou outro",61,"banco","aluguel",2,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1291,"menos de 100","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",35,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",30,"créditos existentes pagos devidamente até agora","rádio/televisão",2522,"menos de 100","mais de 7 anos",1,"masculino (solteiro)","fiador",3,"contrato de poupança/seguro de vida da sociedade de construção",39,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (novo)",915,"desconhecido/sem conta poupança","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",29,"banco","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",6,"créditos existentes pagos devidamente até agora","rádio/televisão",1595,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",51,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Negativa",48,"nenhum crédito recebido / todos os créditos pagos devidamente","carro (usado)",4605,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",24,"Nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","negócios",1185,"menos de 100","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"todos os créditos neste banco foram devidamente pagos","reciclagem",3447,"500 a 1000","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"imóvel",35,"Nenhum","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","negócios",1258,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",1,"imóvel",25,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",717,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",52,"Nenhum","próprio",3,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",6,"nenhum crédito recebido / todos os créditos pagos devidamente","carro (novo)",1204,"100 a 500","1 a 4 anos",4,"masculino (solteiro)","Nenhum",1,"desconhecido/sem propriedade",35,"banco","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","bom"
"Acima de 200",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1925,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"imóvel",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","rádio/televisão",433,"menos de 100","Desempregado",3,"mulher (divorciada/separada/casada)","co-requerente",4,"imóvel",22,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",6,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",666,"mais de 1000","4 a 7 anos",3,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",39,"Nenhum","próprio",2,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2251,"menos de 100","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",46,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",30,"créditos existentes pagos devidamente até agora","carro (novo)",2150,"menos de 100","1 a 4 anos",4,"mulher (divorciada/separada/casada)","fiador",2,"desconhecido/sem propriedade",24,"banco","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",24,"atraso no pagamento no passado","móveis/equipamentos",4151,"100 a 500","1 a 4 anos",2,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",35,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",9,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2030,"desconhecido/sem conta poupança","4 a 7 anos",2,"masculino (solteiro)","Nenhum",1,"carro ou outro",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",60,"atraso no pagamento no passado","rádio/televisão",7418,"desconhecido/sem conta poupança","1 a 4 anos",1,"masculino (solteiro)","Nenhum",1,"imóvel",27,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",2684,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"imóvel",35,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",12,"todos os créditos neste banco foram devidamente pagos","rádio/televisão",2149,"menos de 100","1 a 4 anos",4,"homem (divorciado/separado)","Nenhum",1,"desconhecido/sem propriedade",29,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",15,"créditos existentes pagos devidamente até agora","carro (usado)",3812,"100 a 500","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",23,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",11,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1154,"100 a 500","Desempregado",4,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",57,"Nenhum","próprio",3,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",1657,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"imóvel",27,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","rádio/televisão",1603,"menos de 100","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",55,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",18,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",5302,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",36,"Nenhum","de graça",3,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","Educação",2748,"menos de 100","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"desconhecido/sem propriedade",57,"banco","de graça",3,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",10,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1231,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"imóvel",32,"Nenhum","próprio",2,"não qualificado - residente",2,"Nenhum","Não","bom"
"0 - 200",15,"créditos existentes pagos devidamente até agora","rádio/televisão",802,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",3,"carro ou outro",37,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","negócios",6304,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",36,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",1533,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",3,"carro ou outro",38,"lojas","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",14,"créditos existentes pagos devidamente até agora","carro (novo)",8978,"menos de 100","mais de 7 anos",1,"homem (divorciado/separado)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",45,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Não","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",999,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",25,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","carro (novo)",2662,"desconhecido/sem conta poupança","4 a 7 anos",4,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",32,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Não","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1402,"500 a 1000","4 a 7 anos",3,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",37,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",48,"todos os créditos neste banco foram devidamente pagos","carro (novo)",12169,"desconhecido/sem conta poupança","Desempregado",4,"masculino (solteiro)","co-requerente",4,"desconhecido/sem propriedade",36,"Nenhum","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",48,"créditos existentes pagos devidamente até agora","rádio/televisão",3060,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",28,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",30,"créditos existentes pagos devidamente até agora","reparos",11998,"menos de 100","menos de 1 ano",1,"homem (divorciado/separado)","Nenhum",1,"desconhecido/sem propriedade",34,"Nenhum","próprio",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",9,"créditos existentes pagos devidamente até agora","rádio/televisão",2697,"menos de 100","1 a 4 anos",1,"masculino (solteiro)","Nenhum",2,"imóvel",32,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
